127.0.0.1, 2017-04-10 12:39:26, POST, /api/default/classify, HTTP/1.1, 500, 5.730084
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/default/ticket/api/127.0.0.1.2017-04-10.12-39-20.04e2a554-81cf-421d-b520-eddc2ba988f9, HTTP/1.1, 303, 0.099837
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/default/index, HTTP/1.1, 200, 0.051825
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001932
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001130
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000739
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000778
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000746
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000700
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000753
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001627
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001201
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001440
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001544
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000735
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000755
127.0.0.1, 2017-04-10 12:39:48, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000762
127.0.0.1, 2017-04-10 12:39:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000442
127.0.0.1, 2017-04-10 12:39:56, POST, /admin/default/index, HTTP/1.1, 303, 0.038154
127.0.0.1, 2017-04-10 12:39:56, GET, /admin/default/ticket/api/127.0.0.1.2017-04-10.12-39-20.04e2a554-81cf-421d-b520-eddc2ba988f9, HTTP/1.1, 200, 0.064279
127.0.0.1, 2017-04-10 12:39:56, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000668
127.0.0.1, 2017-04-10 12:39:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2017-04-10 12:48:12, POST, /api/default/classify, HTTP/1.1, 200, 6.629538
127.0.0.1, 2017-04-10 12:48:14, POST, /api/default/classify, HTTP/1.1, 200, 0.137945
127.0.0.1, 2017-04-10 12:48:15, POST, /api/default/classify, HTTP/1.1, 200, 0.125015
127.0.0.1, 2017-04-10 12:48:15, POST, /api/default/classify, HTTP/1.1, 200, 0.129178
127.0.0.1, 2017-04-10 12:48:16, POST, /api/default/classify, HTTP/1.1, 200, 0.157567
